Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Воблий,Аврелій,Тарасович,Чоловіча,1970-12-07,Інженер,місто Рудки,"парк Малиновський, буд. 18 кв. 786, Костопіль, 24345",+380 85 007-33-96,iefremzaichenko@example.org
Журба,Володимир,Петрович,Чоловіча,1983-04-27,Дерун,село Бобринець,"сквер Костанді, буд. 0, Олешки, 43495",+380 21 715-84-40,revazakhar@example.org
Дуплій,Стефан,Дмитрович,Чоловіча,1996-01-01,Модельєр,місто Добропілля,"парк Ключовий 1-й, буд. 492, Курахове, 73743",465 42 21,nataliia44@example.net
Килимник,Августин,Васильович,Чоловіча,1943-01-29,Єгер,село Дружба ,"набережна Південна дорога, буд. 47 кв. 79, Кам'янське, 57424",199 68 13,teodordotsenko@example.net
Бгиденко,Роман,Тарасович,Чоловіча,1975-01-21,Патологоанатом,місто Первомайськ,"провулок Старопортофранківська, буд. 277, Знам'янка, 54568",+380 78 514-01-81,uchumachenko@example.com
Макаренко,Богданна,Георгіївна,Жіноча,1949-07-19,Детектив,місто Сватове,"сквер Тінистий, буд. 67 кв. 9, Шаргород, 11988",014 476 18 06,bezditkoprokhir@example.org
Рудик,Максим,Сергійович,Чоловіча,1949-12-09,Випробувач,село Теплодар,"проспект Першотравневий 2-й, буд. 048 кв. 487, Городня, 45522",029 882-40-77,ieibozhenko@example.net
Туркало,Яків,Юрійович,Чоловіча,1942-11-08,Астроном,селище Вінниця,"провулок Михайла Божія, буд. 114, Бахчисарай, 54329",258-23-63,stepaniermolenko@example.net
Александренко,Ірина,Дмитрівна,Жіноча,1995-12-11,Круп'є,хутір Жашків,"вулиця Орловська, буд. 6, Заліщики, 50072",+380 55 441-78-54,frants56@example.com
Влох,Демид,Тарасович,Чоловіча,1990-03-09,Шериф,місто Костянтинівка,"узвіз Чорноморський 10-й, буд. 77 кв. 4, Першотравенськ, 71077",007 639 79 99,aaron22@example.net
Романенко,Устим,Сергійович,Чоловіча,1964-12-28,Астронавт,хутір Нове Давидково,"набережна Юрія Олеші, буд. 55 кв. 54, Молодогвардійськ, 83579",+380 (81) 682-21-94,eizhakevych@example.com
Вакарчук,Орина,Тарасівна,Жіноча,1978-07-17,Хореограф,хутір Заліщики,"площа Костанді 3-й, буд. 6, Луганськ, 91140",+380 07 934-65-99,tbaturynets@example.com
Гаврюшенко,Леонтій,Олегович,Чоловіча,1996-12-12,Живописець,село Городенка,"узвіз Слобідська, буд. 954 кв. 309, Мар'їнка, 46376",335-60-72,abramchukhordii@example.com
Бабійчук,Орхип,Іванович,Чоловіча,1983-03-01,Публіцист,село Тиврів,"проспект Нежданової, буд. 56, Новояворівськ, 76030",627 05 63,ustymradchenko@example.com
Верховинець,Ада,Степанівна,Жіноча,1949-09-16,Штукатур,село Ржищів,"узвіз Мічуріна, буд. 1, Часів Яр, 99994",017 142 29 12,lnosenko@example.org
Лисенко,Еріка,Павлівна,Жіноча,2003-09-17,Детектив,село Виноградів,"площа Михайла Жванецького, буд. 48, Андрушівка, 05595",+380 53 146-77-79,fedirprotsenko@example.com
Сич,Гордій,Миколайович,Чоловіча,2004-09-24,Астроном,хутір Ірпінь,"парк Академіка Вільямса, буд. 100 кв. 5, Апостолове, 41817",+380 (38) 501-20-46,zlatoslava39@example.com
Шутько,Адам,Вікторович,Чоловіча,1966-06-15,Клавішник,місто Першотравенськ,"провулок Сонячна, буд. 78 кв. 03, Переяслав, 08625",678 19 52,tusyk@example.net
Рубан,Азар,Тарасович,Чоловіча,1976-02-03,Електрослюсар,село Чернігів,"шосе Восьмого березня узвіз, буд. 36 кв. 4, Привілля, 06352",+380 82 310 36 44,iakymchukihor@example.org
Дубас,Кирило,Олександрович,Чоловіча,1942-06-27,Кур'єр,хутір Тараща,"сквер Старицького, буд. 3 кв. 05, Острог, 38993",+380 (67) 572-37-24,petroteslia@example.org
Базилевич,Пантелеймон,Вікторович,Чоловіча,1964-06-28,Головний меркшейдер,місто Дубровиця,"сквер Смоленська, буд. 8 кв. 0, Козятин, 38009",+380 (22) 188-89-85,vashchenkohennadii@example.org
Абрагамовська,Маруся,Василівна,Жіноча,1957-04-09,Дизайнер,селище Інкерман,"проспект Новикова, буд. 013 кв. 30, Долинська, 96629",000 671-48-28,sofiiamishchenko@example.org
Єрьоменко,Демʼян,Євгенович,Чоловіча,1965-09-07,Штукатур,місто Алупка,"набережна Карантинний узвіз, буд. 98, Селидове, 73611",840-47-63,opanas09@example.org
Свириденко,Пантелеймон,Миколайович,Чоловіча,1984-06-05,Художник,місто Малин,"узвіз Проектний 5-й, буд. 340 кв. 6, Новодністровськ, 10364",+380 82 047 76 70,barannyksviatoslav@example.net
Вітрук,Роман,Сергійович,Чоловіча,1961-03-05,Золотар,хутір Лутугине,"узвіз Асташкіна, буд. 94 кв. 626, Миронівка, 75565",017 245 02 17,valenkorostyslav@example.net
Гоголь-Яновський,Миколай,Вікторович,Чоловіча,1945-08-15,Ботанік,селище Перещепине,"сквер Князівська, буд. 4 кв. 055, Сватове, 94008",+380 31 422 99 85,vasylyna29@example.net
Лесик,Ярина,Миколаївна,Жіноча,1975-12-31,Модельєр,хутір Бахмут,"сквер 14-та Суворовська, буд. 8, Бобровиця, 57202",050 895 80 22,wzaiets@example.org
Бгиденко,Тимофій,Вікторович,Чоловіча,1962-10-10,Науковець,хутір Львів,"проспект Виїзна, буд. 3 кв. 200, Бахмач, 01163",+380 (59) 637-79-88,havrylyshyniukhym@example.org
Дашенко,Пилип,Володимирович,Чоловіча,1994-04-23,Зоолог,місто Батурин,"провулок Ковалевського, буд. 46, Дрогобич, 54696",+380 04 129 66 82,tcharnysh@example.net
Тригуб,Тереза,Олегівна,Жіноча,1972-02-19,Золотар,селище Старий Крим,"сквер Десята, буд. 6 кв. 367, Брянка, 31900",+380 54 189-10-89,wgereta@example.org
Шморгун,Йосип,Богданович,Чоловіча,1951-03-31,Фотограф,село Старокостянтинів,"сквер Басейний 3-й, буд. 411, Ворожба, 93674",+380 69 932-78-30,pylyp12@example.net
Вакарчук,Віолетта,Олегівна,Жіноча,1984-07-15,Геолог,місто Алчевськ,"проспект Місячна, буд. 4, Арциз, 68425",+380 (44) 012-78-94,fhaida@example.com
Михайлюк,Алла,Романівна,Жіноча,1960-11-12,Доцент,селище Татарбунари,"узвіз Жаботинського, буд. 508, Вараш, 14635",368-72-49,hordiivelychko@example.com
Венгринович,Феофан,Тарасович,Чоловіча,2002-02-01,Мікробіолог,хутір Червоносів,"шосе Хаджибейський 1-й, буд. 8, Петрово-Красносілля, 67745",861-43-48,pholoborodko@example.org
Пелех,Валентина,Василівна,Жіноча,1989-06-11,Флорист,місто Новоград-Волинський,"сквер Новий, буд. 4, Зміїв, 69754",085 650 27 27,tetianahunko@example.com
Дашкевич,Амвросій,Степанович,Чоловіча,2007-04-10,Біолог,місто Бориспіль,"площа Юннатів 3-й, буд. 16 кв. 2, Рені, 61422",064 971 45 91,jpalii@example.net
Мірошниченко,Нестор,Дмитрович,Чоловіча,1950-03-02,Астроном,хутір Ужгород,"площа Профспілкова, буд. 6, Новоазовськ, 15952",416 00 66,iaroslav42@example.com
Вергун,Юстим,Іванович,Чоловіча,1955-09-05,Мовознавець,селище Новоград-Волинський,"парк Ковалевського, буд. 9, Кальміуське, 48667",032 177 12 79,arkadiikhrystenko@example.org
Охріменко,Демʼян,Олександрович,Чоловіча,1997-03-22,Актор,місто Канів,"шосе Умова, буд. 59, Перемишляни, 61970",+380 08 500-69-48,geretaanita@example.net
Яковенко,Остап,Олегович,Чоловіча,1995-03-06,Стоматолог,село Красноперекопськ,"вулиця Ризька, буд. 879 кв. 346, Апостолове, 73099",+380 97 050-72-61,iurchyshynaivan@example.net
Рябошапка,Оксенія,Олегівна,Жіноча,1982-05-22,Кур'єр,селище Вараш,"сквер Балтський 1-й, буд. 175 кв. 55, Попасна, 52754",+380 11 256-25-97,oleksa10@example.com
Гречко,Леопольд,Олегович,Чоловіча,1993-11-06,Графік,селище Ясинувата,"узвіз Перший Кришталевий, буд. 94 кв. 93, Новий Калинів, 75059",+380 (12) 520-85-95,oksana90@example.net
Бевзенко,Йосип,Романович,Чоловіча,1944-09-11,Фрілансер,місто Зміїв,"провулок Кутова, буд. 1, Зоринськ, 76950",605-09-32,rubanamaliia@example.com
Бгиденко,Феофан,Васильович,Чоловіча,2001-10-14,Реставратор,село Привілля,"площа Кладовищний, буд. 10, Переяслав, 63805",+380 74 104-01-81,kaleksiuk@example.net
Даниленко,Юстина,Богданівна,Жіноча,1986-08-21,Секретар,селище Мерефа,"вулиця Курганська, буд. 3 кв. 706, Білопілля, 16292",505 33 35,mykytazakusylo@example.net
Остапчук,Вікторія,Степанівна,Жіноча,1963-05-06,Музикант,хутір Луганськ,"парк Леонова, буд. 3, Харцизьк, 28928",034 851-96-56,zasenkotrokhym@example.net
Жаліло,Єва,Юріївна,Жіноча,1986-02-03,Намотувальник,хутір Новоазовськ,"набережна Польовий 1-й, буд. 562, Білозерське, 36327",+380 85 557 19 49,olhanazarenko@example.com
Сірченко,Соломон,Дмитрович,Чоловіча,1976-03-25,Футболіст,село Боярка,"узвіз Красива, буд. 726 кв. 85, Дубровиця, 65769",+380 78 542-27-05,gshchors@example.net
Василечко,Христина,Андріївна,Жіноча,1990-01-12,Драматург,місто Щастя ,"сквер Жоліо-Кюрі, буд. 383, Чистякове, 19307",025 859 75 13,bohuslavabezborodko@example.net
Гайдамака,Азар,Іванович,Чоловіча,1979-03-20,Ґрунтознавець,хутір Чернігів,"вулиця Іспанська, буд. 8 кв. 20, Вільнянськ, 93478",939-88-51,zlatoslavavashchenko-zakharchenko@example.org
Гайворонський,Микита,Вікторович,Чоловіча,1972-09-05,Локсмайстер,місто Красногорівка,"проспект Василя Стуса, буд. 112 кв. 79, Лиман , 29053",+380 91 019-60-11,romanchukarkadii@example.net
Артюх,Августин,Васильович,Чоловіча,1981-01-30,Випробувач,селище Мерефа,"набережна Китобійний 2-й, буд. 29 кв. 45, Зугрес, 08734",+380 50 839-08-85,allaabramchuk@example.org
Гоголь-Яновська,Камілла,Олегівна,Жіноча,1986-04-16,Намотувальник,місто Галич,"проспект Левкоєва, буд. 258, Зміїв, 60145",+380 (12) 307-81-03,mariiamykhaliuk@example.com
Корсун,Гліб,Олегович,Чоловіча,1976-11-15,Детектив,селище Олешки,"узвіз Українська, буд. 9 кв. 4, Барвінкове, 32211",+380 60 816-99-85,avhustyn70@example.com
Кальченко,Валентина,Іванівна,Жіноча,1975-09-28,Вчитель,село Радомишль,"парк Довга, буд. 9 кв. 254, Лутугине, 17682",075 297-50-95,kzaiets@example.org
Баклан,Лілія,Євгенівна,Жіноча,1971-03-12,Ді-джей,місто Кам'янка-Бузька,"вулиця Чорноморський 13-й, буд. 477 кв. 80, Амвросіївка, 21280",+380 85 710-59-95,irvanetsklyment@example.net
Рак,Вʼячеслав,Олегович,Чоловіча,2000-05-23,Ветеринар,селище Довжанськ,"провулок Балтський 6-й, буд. 7, Тернопіль, 80412",+380 46 248-76-52,bohodar95@example.net
Ісаєнко,Климент,Михайлович,Чоловіча,1984-06-02,Ріелтор,місто Ямпіль,"шосе Спартаківська, буд. 28, Монастириська, 81618",665-28-37,eduard45@example.com
Слюсар,Едита,Василівна,Жіноча,2000-12-14,Фізик,селище Люботин,"вулиця Середньофонтанський, буд. 271, Сєвєродонецьк, 86718",132-07-11,klymenttereshchenko@example.com
Данчук,Лілія,Степанівна,Жіноча,1955-05-28,Кіноактор,селище Таврійськ,"провулок 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 1, Ужгород, 62132",+380 60 797 40 39,nshapoval@example.com
Гук,Леонід,Іванович,Чоловіча,1994-06-25,Льотчик,село Куп'янськ,"парк Сегедська, буд. 7, Горлівка, 18759",+380 73 751-63-15,viushchenko@example.com
Малишко,Руслан,Вікторович,Чоловіча,1980-10-08,Стоматолог,село Голубівка,"сквер Льва Толстого, буд. 029, Рогатин, 36554",045 420-05-03,drobakhaokhrim@example.org
Вовк,Володимир,Петрович,Чоловіча,1977-01-14,Льотчик,село Нововолинськ,"узвіз Бехтерєва, буд. 00, Новий Буг, 98404",+380 81 607 68 97,vmasliak@example.com
Тригуб,Леон,Вікторович,Чоловіча,1968-11-14,Футболіст,місто Березань ,"площа 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 60, Горішні Плавні, 82774",098 340-31-81,tiahnybokfrants@example.org
Удовенко,Альбіна,Андріївна,Жіноча,1991-10-30,Мистецтвознавець,село Миколаїв,"площа Інтернаціональний, буд. 650 кв. 866, Кривий Ріг, 39585",004 521 96 72,ieshchenkobohdanna@example.org
Чуприна,Алевтин,Володимирович,Чоловіча,1946-01-07,Стропальник,селище Валки ,"набережна Казанська, буд. 751 кв. 1, Верхньодніпровськ, 83859",+380 30 923 87 57,iaroslava24@example.com
Кириленко,Нестор,Іванович,Чоловіча,1977-03-24,Музичний редактор,місто Вижниця,"вулиця Наявний 1-й, буд. 9, Луцьк, 66323",+380 37 345-96-21,rshovkoplias@example.com
Захарченко,Пантелеймон,Богданович,Чоловіча,1996-09-01,Прокурор,хутір Жданівка,"площа Об'їзна дорога, буд. 8 кв. 7, Снігурівка, 89598",673-21-00,haievskyilevko@example.com
Джунь,Еріка,Вікторівна,Жіноча,1957-08-09,Письменник,хутір Липовець,"узвіз Шишкіна 2-й, буд. 36 кв. 8, Карлівка, 27853",+380 43 091-12-89,hennadii85@example.net
Ємельяненко,Ростислав,Сергійович,Чоловіча,1949-06-03,Кінорежисер,місто Старий Крим,"проспект Нова, буд. 18, Зборів, 03868",+380 56 647-19-60,ealeksandrenko@example.net
Левченко,Христина,Олегівна,Жіноча,1993-02-16,Сантехнік,селище Довжанськ,"шосе Аеропортівський 4-й, буд. 4 кв. 061, Липовець, 12873",+380 27 670 07 10,wkhudiak@example.org
Жарко,Златослава,Андріївна,Жіноча,2002-04-04,Секретар,селище Виноградів,"сквер Тепличний 2-й, буд. 868 кв. 39, Тетіїв, 02083",029 053-42-42,mhodunok@example.org
Девдюк,Олег,Васильович,Чоловіча,1976-12-11,Географ,місто Вижниця,"площа Солонцюватий, буд. 0, Курахове, 61943",086 851-05-42,zakusyloustym@example.net
Акуленко,Нестор,Олегович,Чоловіча,1959-11-07,Льотчик,хутір Нетішин,"вулиця 13-та Суворовська, буд. 38 кв. 479, Алмазна, 58398",077 451-59-60,volodymyrazatula@example.org
Єщенко,Демʼян,Іванович,Чоловіча,1952-06-22,Публіцист,хутір Географія Вільнянська,"площа 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 3, Новодністровськ, 23714",+380 (58) 077-65-30,borysvernyhora@example.net
Ісаєвич,Валентина,Романівна,Жіноча,1979-09-22,Професор,селище Кам'янець-Подільський,"вулиця Аркаса Миколи, буд. 9 кв. 91, Костянтинівка, 22134",+380 35 279-48-53,yfurs@example.net
Гаврилець,Богодар,Миколайович,Чоловіча,1992-10-05,Стоматолог,хутір Лисичанськ,"площа Заводська 2-га, буд. 484, Сорокине, 56434",+380 45 168 87 13,omelian33@example.com
Шелест,Олег,Степанович,Чоловіча,1993-12-06,Штукатур,селище Червоноград,"набережна Бахчева, буд. 2 кв. 94, Армянськ, 49406",513 55 69,volodymyrpelekh@example.net
Базилевич,Варвара,Тарасівна,Жіноча,1976-04-24,Мікробіолог,селище Чернівці,"провулок Дев’ята, буд. 93, Первомайський , 29197",+380 09 794 25 32,fchmil@example.org
Франко,Леонід,Георгійович,Чоловіча,1942-07-16,Парфюмер,селище Кадіївка,"узвіз Парусна, буд. 62, Первомайський , 90513",000 988 18 43,myroslavbaranets@example.com
Деревʼянко,Ярослав,Васильович,Чоловіча,1961-08-11,Машиніст,село Вовчанськ,"сквер Черепанових 2-й, буд. 54, Берестечко, 52062",090 773 22 11,zinchuksolomiia@example.net
Вітрук,Соломія,Сергіївна,Жіноча,1974-03-09,Музикант,місто Макіївка,"шосе Васнецова, буд. 971 кв. 7, Борислав, 48506",+380 23 595-42-23,olha66@example.org
Атаманюк,Пріска,Тарасівна,Жіноча,1946-09-09,Локсмайстер,село Апостолове,"набережна Ювілейний 2-й, буд. 81, Київ, 85783",098 952-51-61,liudmyla37@example.net
Тарасенко,Лесь,Олександрович,Чоловіча,1966-11-22,Мистецтвознавець,місто Хрустальний,"вулиця Лінія 28-ма, буд. 77 кв. 4, Кодима, 83865",+380 18 913-44-45,zhalilolarysa@example.org
Ющенко,Валентин,Петрович,Чоловіча,1959-11-10,Психолог,місто Надвірна,"вулиця Матроська Слобідка, буд. 901, Нікополь, 54673",041 867-39-21,khrystychamvrosii@example.net
Твердохліб,Леопольд,Петрович,Чоловіча,2008-07-05,Краєзнавець,місто Луганськ,"проспект Чорноморський 1-й, буд. 6, Добропілля, 98329",995-59-50,vitrukiryna@example.com
Чаленко,Макар,Петрович,Чоловіча,1994-07-06,Золотар,село Вознесенівка,"площа Воронцовський, буд. 8 кв. 733, Кобеляки, 63727",+380 39 569 51 66,brudyk@example.net
Давимука,Юхим,Євгенович,Чоловіча,1995-07-29,Соціолог,село Кремінна,"парк Будівельна, буд. 67 кв. 7, Іловайськ, 04803",058 072-60-11,iaremabaklan@example.org
Арсенич,Гаврило,Володимирович,Чоловіча,1977-03-10,Локсмайстер,селище Жовті Води,"площа Коцебу міст, буд. 67 кв. 86, Яремче, 33410",+380 (78) 900-81-25,qshukhevych@example.org
Данилюк,Геннадій,Степанович,Чоловіча,1982-04-20,Кухар,хутір Алупка,"узвіз Овідіопольський, буд. 870 кв. 1, Теребовля, 53233",090 479 08 79,babakoksana@example.org
Ткаченко,Роксолана,Тарасівна,Жіноча,1964-04-07,Мовознавець,місто Миронівка,"площа Купріна, буд. 96, Старокостянтинів, 32563",+380 (36) 022-62-32,jiurchyshyn@example.net
Базавлученко,Пріска,Вікторівна,Жіноча,2001-10-05,Шериф,місто Кальміуське,"шосе Онезька, буд. 0 кв. 455, Чугуїв, 51206",317-45-56,orest22@example.net
Штепа,Ігнат,Степанович,Чоловіча,1950-09-17,Мистецтвознавець,місто Полонне,"сквер Просьолочна, буд. 97 кв. 411, Тульчин, 02199",655 77 47,vsamoilenko@example.net
Даниленко,Надія,Петрівна,Жіноча,2006-05-07,Модель,місто Вилкове,"шосе Лінія 22-га, буд. 75, Жидачів, 79693",044 309-50-26,amvrosii40@example.com
Шеремет,Борис,Петрович,Чоловіча,1973-07-03,Стоматолог,хутір Дрогобич,"проспект Бернардацці, буд. 729 кв. 82, Фастів, 63589",087 739-56-47,ihnatbazavluchenko@example.org
Пушкар,Софія,Сергіївна,Жіноча,1973-10-10,Кінолог,село Берегове,"проспект Дем’янова, буд. 502, Болехів, 22665",289 71 88,qieremenko@example.org
Ґереґа,Ігнат,Вікторович,Чоловіча,1978-08-15,Детектив,село Олександрівськ,"площа Амурська, буд. 284, Кагарлик, 21264",047 238 52 67,okhrim11@example.com
Адамчук,Наталія,Богданівна,Жіноча,1965-04-17,Історик,хутір Шепетівка,"площа Михайла Грушевського, буд. 021, Чорнобиль, 02845",+380 47 508-04-23,amaliia35@example.net
Гоголь-Яновський,Семен,Андрійович,Чоловіча,1944-03-29,Професор,хутір Болехів,"вулиця Яблунева, буд. 7 кв. 83, Канів, 56982",+380 19 752 81 47,bhrechanyk@example.net
Шахрай,Венедикт,Володимирович,Чоловіча,1982-03-29,Математик,місто Гола Пристань,"парк Крушельницької, буд. 3, Ржищів, 39781",973 58 57,psirchenko@example.com
Семенченко,Аарон,Сергійович,Чоловіча,2002-09-19,Художник,село Бахмут,"сквер Рельєфна, буд. 089 кв. 5, Соледар, 19000",+380 55 284-98-86,okseniiavdovenko@example.net
Вовк,Веніямин,Олександрович,Чоловіча,1984-04-17,Ювелір,село Антрацит ,"парк Іспанський, буд. 3 кв. 180, Заводське, 52845",563 62 09,avlasiuk@example.org
Александренко,Анжела,Павлівна,Жіноча,2006-03-29,Архітектор,селище Олександрія,"узвіз Задніпровського, буд. 1, Косів, 69615",+380 38 292 89 00,okhrim05@example.org
Дуплій,Марина,Петрівна,Жіноча,1979-12-06,Швачка,хутір Вашківці,"проспект Карантинна, буд. 7 кв. 77, Теплодар, 29201",793-64-29,rostyslav45@example.net
Ященко,Данило,Вікторович,Чоловіча,1990-10-10,Кухар,місто Вугледар,"узвіз Івана Франка, буд. 821, Теплодар, 47947",+380 74 406 30 76,allasahal@example.org
Баштан,Марія,Петрівна,Жіноча,1939-04-18,Льотчик,місто Фастів,"сквер Студентський 4-й, буд. 981, Дружківка, 81136",+380 50 381-34-28,illia43@example.org
Бабко,Леонід,Георгійович,Чоловіча,1954-12-25,Професор,місто Верхівцеве,"узвіз Красносільська, буд. 425 кв. 77, Зугрес, 24017",009 833 00 63,avrelii05@example.com
Цушко,Анастасія,Миколаївна,Жіноча,1967-02-20,Зоолог,місто Дніпро ,"набережна Аеропортівська, буд. 34 кв. 2, Антрацит , 73046",059 435 54 89,cdeineka@example.com
Шаповал,Єлисавета,Андріївна,Жіноча,1959-12-28,Філолог,селище Вижниця,"площа Скляний 1-й, буд. 2 кв. 198, Снігурівка, 13432",+380 (43) 173-48-48,ustymtovstukha@example.net
Ватаманюк,Ліза,Романівна,Жіноча,1996-07-03,Співак,село Перечин,"вулиця Гвоздична, буд. 135 кв. 12, Овруч, 07642",259 78 57,arsen33@example.org
Скоробогатько,Мартин,Євгенович,Чоловіча,1952-05-07,Редактор,селище Новоград-Волинський,"вулиця Маршрутна, буд. 710 кв. 67, Арциз, 92664",+380 98 181-88-73,ostapartym@example.org
Токар,Августин,Миколайович,Чоловіча,1977-01-08,Математик,місто Снігурівка,"парк Лінія 26-та, буд. 7 кв. 580, Чугуїв, 23766",222-04-72,orestdemianchuk@example.net
Власенко,Августин,Михайлович,Чоловіча,1957-02-24,Секретар,місто Мена ,"шосе Василя Кандинського 4-й, буд. 49 кв. 0, Городня, 13436",027 188 34 87,avramenkoazar@example.net
Ейбоженко,Вікторія,Михайлівна,Жіноча,1964-06-02,Петрограф,селище Нова Одеса,"площа Леха Качинського, буд. 3, Богодухів, 06264",004 887 11 02,orysiademianenko@example.org
Удовенко,Степан,Васильович,Чоловіча,1962-03-25,Модель,селище Павлоград,"площа Кришталева, буд. 3 кв. 7, Сколе, 70746",404-61-37,mykhailyna99@example.com
Гайдамака,Тарас,Тарасович,Чоловіча,2006-03-27,Драматург,селище Почаїв,"парк Капітана Кузнецова, буд. 11 кв. 88, Ржищів, 95325",+380 36 254 08 66,oleksa59@example.net
Яценюк,Юхим,Олександрович,Чоловіча,2003-02-03,Акушер,селище Новогродівка,"площа Герцена, буд. 362, Болград, 92887",+380 64 174-19-33,semenzaika@example.net
Петренко,Христина,Георгіївна,Жіноча,1952-09-17,Маркетолог,хутір Буча,"проспект Волниста, буд. 83, Верхньодніпровськ, 30245",998 36 39,iustymchervonenko@example.com
Пушкар,Олександр,Михайлович,Чоловіча,1959-07-28,Штукатур,хутір Лохвиця,"парк Бодаревського, буд. 7 кв. 2, Славута, 83664",+380 77 551 87 77,wmykhaliuk@example.net
Ярема,Еріка,Сергіївна,Жіноча,1948-11-28,Кіноактор,селище Стебник,"сквер 10-та Лінія 6-й ст. Люстдорфської дороги, буд. 15 кв. 0, Сватове, 49156",+380 21 513 06 97,daryna70@example.net
Шухевич,Орест,Олегович,Чоловіча,2001-04-29,Ріелтор,місто Дергачі,"площа Латвійський узвіз, буд. 0, Снігурівка, 80828",185 58 57,hodunokmariia@example.org
Козаченко,Тарас,Павлович,Чоловіча,2001-05-15,Реставратор,хутір Шаргород,"узвіз Левкоєва, буд. 7, Жмеринка, 41263",+380 79 062 45 95,iarema59@example.net
Шелест,Остап,Євгенович,Чоловіча,2004-06-01,Ріелтор,село Липовець,"парк Аеродромна, буд. 3, Сколе, 83874",139-69-01,ztsisyk@example.com
Жук,Віолетта,Романівна,Жіноча,1995-03-01,Стиліст,селище Кам'янське,"площа Соляний 3-й, буд. 061 кв. 41, Ватутіне, 46729",+380 (58) 675-23-64,okhrimenkoorkhyp@example.com
Єрмоленко,Софія,Георгіївна,Жіноча,1958-05-12,Педагог,селище Вашківці,"узвіз Старицького, буд. 44, Судак , 26550",262-62-02,sveres@example.net
Масляк,Спас,Євгенович,Чоловіча,2008-06-24,Професор,село Липовець,"провулок Тимірязєва 5-й, буд. 8 кв. 16, Кремінна, 50712",464 01 25,adankevych@example.com
Уманець,Миколай,Петрович,Чоловіча,1975-12-22,Гірник,хутір Горлівка,"шосе Академіка Панкратової, буд. 3, Бердичів, 50333",+380 53 356 86 10,shvachkoiukhym@example.com
Гайдамака,Костянтин,Петрович,Чоловіча,1940-02-27,Каскадер,хутір Балта,"провулок Першотравневий 3-й, буд. 9, Ладижин, 81422",024-67-67,veniiamynkyrylenko@example.net
Бандура,Віктор,Володимирович,Чоловіча,1968-05-05,Астроном,селище Луганськ,"узвіз Чорноморка, буд. 613 кв. 816, Білозерське, 63156",+380 06 609 11 55,tsiutsiuraielysaveta@example.net
Засядько,Юстина,Степанівна,Жіноча,1985-04-10,Публіцист,село Соснівка ,"проспект Літературна, буд. 6 кв. 3, Сарни, 96436",088 776 14 19,vladyslav25@example.org
Романенко,Анастасія,Андріївна,Жіноча,1980-06-11,Намотувальник,місто Решетилівка,"площа Вєтрогонова, буд. 820 кв. 38, Бурштин , 99742",067 854-25-39,skybasolomon@example.com
Сомко,Захар,Васильович,Чоловіча,1985-10-03,Співак,село Сновськ,"проспект Оранжерейний, буд. 749 кв. 032, Нетішин, 04398",022 830 78 09,rozaliia91@example.net
Бабиченко,Любов,Миколаївна,Жіноча,1944-08-29,Намотувальник,селище Болград,"вулиця Садова, буд. 784, Виноградів, 15094",020 241 88 05,shcherbanleon@example.org
Ґжицький,Тимофій,Дмитрович,Чоловіча,1984-06-22,Електромонтажник,село Вознесенськ,"проспект Велика Арнаутська, буд. 658 кв. 025, Білицьке, 08903",023 997 04 19,viktoriia28@example.com
Батуринець,Опанас,Павлович,Чоловіча,1979-06-03,Редактор,місто Корюківка,"проспект Нова, буд. 0, Бахчисарай, 76147",+380 82 887-45-49,vernydubonysym@example.net
Негода,Євген,Олегович,Чоловіча,2005-06-16,Інженер,село Голубівка,"вулиця Олександра Стурдзи, буд. 02 кв. 40, Сіверськ, 01817",549 94 40,maryna62@example.net
Михалюк,Дарина,Степанівна,Жіноча,1950-06-20,Біолог,місто Хирів,"шосе Зелена балка, буд. 289, Підгородне, 41992",698-36-60,lizabaida@example.net
Тесля,Франц,Олегович,Чоловіча,2002-01-16,Геофізик,хутір Марганець ,"сквер Тінистий, буд. 40, Зеленодольськ, 13967",028 156 56 74,erika94@example.com
Чекалюк,Лукʼян,Юрійович,Чоловіча,1983-04-26,Стоматолог,селище Вилкове,"узвіз Єфімова, буд. 9 кв. 7, Кіцмань, 54276",038-25-29,dan73@example.com
Шиян,Ганна,Іванівна,Жіноча,1985-06-07,Агроном,місто Чернігів,"сквер Недєліна, буд. 187, Білогірськ, 52096",834-91-02,wshapoval@example.net
Усик,Семен,Володимирович,Чоловіча,2007-08-06,Юрист,селище Курахове,"парк Нафтовиків, буд. 82 кв. 9, Токмак, 96649",102-03-71,iiesypenko@example.net
Орлик,Амвросій,Тарасович,Чоловіча,1979-12-24,Бухгалтер,селище Докучаєвськ,"площа Іванова Ігоря, буд. 52 кв. 4, Керч, 21589",+380 79 677-40-77,cchupryna@example.com
Слюсар,Болеслав,Васильович,Чоловіча,2005-01-31,Юрист,місто Калуш,"площа Маршала Малиновського, буд. 328 кв. 097, Андрушівка, 90221",082 691 86 83,pavlychenkooleksandr@example.com
